trial,decision,score,validation_score,reason
1,PROMOTED,25882.777125,,
2,PROMOTED,22682.755,,
1,ROLLBACK,107132.84662499999,,
2,PROMOTED,17807.756999999998,,
3,PROMOTED,15407.723875,,
4,ROLLBACK,18182.808624999998,,
5,ROLLBACK,23057.823,,
6,ROLLBACK,20795.355000000003,,
7,ROLLBACK,107132.84662499999,,
8,PROMOTED,13532.718374999999,,
9,ROLLBACK,107132.84662499999,,
10,ROLLBACK,107132.84662499999,,
11,PROMOTED,10344.879,,
12,PROMOTED,8495.2935,,
13,PROMOTED,7982.8099999999995,,
14,ROLLBACK,30007.850125,,
15,PROMOTED,7757.792374999999,,
16,ROLLBACK,27007.84225,,
17,ROLLBACK,31132.846625000002,,
18,ROLLBACK,12332.825375,,
19,ROLLBACK,16157.806875000002,,
20,ROLLBACK,31132.846625000002,,
21,ROLLBACK,26632.826375000004,,
22,ROLLBACK,27812.707375,,
23,ROLLBACK,22337.923625,,
24,ROLLBACK,31132.846625000002,,
25,ROLLBACK,31132.846625000002,,
26,PROMOTED,18265.272,,
27,ROLLBACK,25235.279749999998,,
28,ROLLBACK,30390.326875,,
29,ROLLBACK,27757.841250000005,,
30,ROLLBACK,27832.806625000005,,
31,ROLLBACK,26140.28125,,
32,ROLLBACK,28882.825125000003,,
33,ROLLBACK,28937.944124999998,,
34,ROLLBACK,25615.277625,,
35,ROLLBACK,26632.779625000003,,
36,ROLLBACK,19180.32875,,
37,ROLLBACK,26632.846875000003,,
38,ROLLBACK,25015.3285,,
39,ROLLBACK,28882.809875000003,,
40,ROLLBACK,26632.839500000002,,
41,ROLLBACK,19042.799000000003,,
42,PROMOTED,9255.175125000002,,
43,ROLLBACK,117137.84662499999,,
44,PROMOTED,7490.152625000001,,
45,ROLLBACK,34132.8755,,
46,PROMOTED,7490.106374999999,,
47,ROLLBACK,27315.426125,,
48,PROMOTED,5690.0935,,
49,PROMOTED,5122.597125,,
50,ROLLBACK,31732.848625000002,,
51,ROLLBACK,6460.514,,
52,ROLLBACK,7399.647125,,
53,PROMOTED,5150.839375,,
54,ROLLBACK,9597.359375,,
55,ROLLBACK,5694.455125,,
56,ROLLBACK,5699.7029999999995,,
57,ROLLBACK,6728.55625,,
58,ROLLBACK,7957.010625,,
59,ROLLBACK,10710.319125,,
60,ROLLBACK,5702.224499999999,,
