trial,decision,score,validation_score,reason
1,ROLLBACK,69214.91475,,
2,PROMOTED,25626.255500000003,,
3,ROLLBACK,30658.324,,
4,ROLLBACK,29440.8235,,
5,ROLLBACK,40697.013125,,
6,ROLLBACK,32097.300874999997,,
7,ROLLBACK,33256.97125,,
8,ROLLBACK,34446.05087500001,,
9,ROLLBACK,31652.113375,,
10,ROLLBACK,35879.752625,,
11,PROMOTED,16250.647,,
12,PROMOTED,14154.753999999999,,
13,ROLLBACK,19074.704,,
14,PROMOTED,9664.95475,,
15,ROLLBACK,91571.582125,,
16,PROMOTED,9649.992875,,
17,ROLLBACK,19524.450999999997,,
18,ROLLBACK,9695.40825,,
19,PROMOTED,9585.226625,,
20,ROLLBACK,9585.226625,,
21,ROLLBACK,11851.8975,,
22,REJECTED_REGRESSION,9067.691374999999,,noisy_sensor_tank1_fault regressed 6723.8 -> 11484.0
23,REJECTED_REGRESSION,7952.754499999999,,noisy_sensor_tank1_fault regressed 6723.8 -> 11683.5
24,REJECTED_REGRESSION,9077.709499999999,,noisy_sensor_tank1_fault regressed 6723.8 -> 11683.5
25,ROLLBACK,10205.181125,,
26,REJECTED_REGRESSION,9260.082124999999,,tank1_fault_only regressed 6042.0 -> 6681.5
27,ROLLBACK,9602.703625,,
28,REJECTED_REGRESSION,8240.063999999998,,tank1_fault_only regressed 6042.0 -> 6721.4
29,ROLLBACK,22399.4875,,
30,REJECTED_REGRESSION,8782.49225,,noisy_sensor_tank1_fault regressed 6723.8 -> 16323.5
31,ROLLBACK,16982.396125,,
32,ROLLBACK,18399.443499999998,,
33,REJECTED_REGRESSION,8287.603125,,noisy_sensor_tank1_fault regressed 6723.8 -> 16323.5
34,ROLLBACK,17038.443,,
35,REJECTED_REGRESSION,9092.625124999999,,noisy_sensor_tank1_fault regressed 6723.8 -> 11683.5
36,ROLLBACK,15061.785624999999,,
37,REJECTED_REGRESSION,9319.996874999999,,noisy_sensor_tank1_fault regressed 6723.8 -> 11683.5
38,ROLLBACK,29765.421499999997,,
39,ROLLBACK,32184.506375,,
40,ROLLBACK,13682.694749999999,,
41,ROLLBACK,23201.6885,,
42,PROMOTED,8719.996874999999,,
43,ROLLBACK,16149.975874999996,,
44,ROLLBACK,13184.54575,,
45,ROLLBACK,14762.306125,,
46,ROLLBACK,22247.3115,,
47,ROLLBACK,11772.542125,,
48,ROLLBACK,16630.189375,,
